CƠ CẤU LAO ĐỘNG CÓ VIỆC LÀM TỪ 15 TUỔI TRỞ LÊN CHIA THEO NGHỀ NGHIỆP. NĂM 2020,Biểu 10- 2020,Tổng,,,Thành thị,,,Nông thôn,,
Vùng,Nghề nghiệp,Chung,Nam,Nữ,Chung,Nam,Nữ,Chung,Nam,Nữ
Tổng,Tổng,100,100,100,100,100,100,100,100,100
Tổng,Nhà lãnh đạo,1,1.4,0.6,1.9,2.7,1.1,0.6,0.8,0.3
Tổng,Chuyên môn kỹ thuật bậc cao,8,6.9,9.3,16.5,14.7,18.5,3.9,3.1,4.7
Tổng,Chuyên môn kỹ thuật bậc trung,3.2,2.7,3.9,5.3,4.5,6.1,2.2,1.8,2.8
Tổng,Nhân viên,1.9,1.9,1.9,3.3,3.2,3.4,1.2,1.3,1.1
Tổng,Dịch vụ cá nhân. bảo vệ và bán hàng,18,13.3,23.2,27.4,21,34.6,13.4,9.7,17.6
Tổng,Nghề trong nông. lâm. ngư nghiệp,7.3,9.1,5.3,2.8,3.7,1.7,9.6,11.8,7.1
Tổng,Thợ thủ công và các thợ khác có liên quan,13.7,19.5,7.3,13.1,18.7,6.9,14,19.8,7.4
Tổng,Thợ lắp ráp và vận hành máy móc thiết bị,13.2,13.7,12.7,15.1,17.5,12.4,12.4,11.9,12.9
Tổng,Nghề giản đơn,33.4,31.1,35.9,14.2,13.4,15.1,42.7,39.6,46.1
Tổng,Khác,0.2,0.3,0,0.4,0.6,0.1,0.1,0.2,0
Trung du và miền núi phía Bắc,Tổng,100,100,100,100,100,100,100,100,100
Trung du và miền núi phía Bắc,Nhà lãnh đạo,0.9,1.2,0.5,2.6,3.6,1.7,0.5,0.8,0.3
Trung du và miền núi phía Bắc,Chuyên môn kỹ thuật bậc cao,5,3.9,6.1,17.6,15.1,20.1,2.6,1.8,3.3
Trung du và miền núi phía Bắc,Chuyên môn kỹ thuật bậc trung,2.8,2.1,3.5,6.5,5,7.9,2.1,1.6,2.6
Trung du và miền núi phía Bắc,Nhân viên,1,1.1,0.8,2.4,2.3,2.5,0.7,0.8,0.5
Trung du và miền núi phía Bắc,Dịch vụ cá nhân. bảo vệ và bán hàng,10.7,9,12.4,24.9,20.3,29.3,7.9,6.9,9
Trung du và miền núi phía Bắc,Nghề trong nông. lâm. ngư nghiệp,2.3,3,1.6,0.8,0.9,0.8,2.6,3.4,1.7
Trung du và miền núi phía Bắc,Thợ thủ công và các thợ khác có liên quan,10.3,15.9,4.6,11.3,17.5,5.3,10.1,15.6,4.4
Trung du và miền núi phía Bắc,Thợ lắp ráp và vận hành máy móc thiết bị,8.2,9,7.4,11.9,15.5,8.5,7.4,7.8,7.1
Trung du và miền núi phía Bắc,Nghề giản đơn,58.8,54.6,63.1,21.5,19.1,23.9,66,61.1,71.1
Trung du và miền núi phía Bắc,Khác,0.1,0.2,0,0.4,0.8,0.1,0.1,0.1,0
Đồng bằng sông Hồng,Tổng,100,100,100,100,100,100,100,100,100
Đồng bằng sông Hồng,Nhà lãnh đạo,1.4,2.1,0.7,2.9,4.3,1.5,0.8,1.1,0.4
Đồng bằng sông Hồng,Chuyên môn kỹ thuật bậc cao,10.8,9.3,12.4,21.5,19.2,23.8,5.8,4.6,7
Đồng bằng sông Hồng,Chuyên môn kỹ thuật bậc trung,3.7,3,4.4,5.3,4.5,6.2,2.9,2.3,3.5
Đồng bằng sông Hồng,Nhân viên,2.3,2.2,2.4,3.9,3.6,4.1,1.6,1.6,1.6
Đồng bằng sông Hồng,Dịch vụ cá nhân. bảo vệ và bán hàng,19.6,16.5,22.7,27.5,22.4,32.7,15.8,13.7,18
Đồng bằng sông Hồng,Nghề trong nông. lâm. ngư nghiệp,1,1.2,0.8,0.2,0.3,0.1,1.4,1.6,1.2
Đồng bằng sông Hồng,Thợ thủ công và các thợ khác có liên quan,16.7,25.7,7.7,11.4,17,5.7,19.2,29.7,8.7
Đồng bằng sông Hồng,Thợ lắp ráp và vận hành máy móc thiết bị,19.5,19.8,19.2,13.8,18.2,9.4,22.2,20.5,23.8
Đồng bằng sông Hồng,Nghề giản đơn,24.7,19.8,29.6,12.9,9.6,16.3,30.2,24.6,35.8
Đồng bằng sông Hồng,Khác,0.3,0.5,0.1,0.6,1,0.1,0.2,0.3,0.1
Hà Nội,Tổng,100,100,100,100,100,100,100,100,100
Hà Nội,Nhà lãnh đạo,2,3,1,3.6,5.4,1.7,0.8,1.1,0.4
Hà Nội,Chuyên môn kỹ thuật bậc cao,18.6,16.2,21.1,30.5,27.5,33.5,9.3,7.6,11.2
Hà Nội,Chuyên môn kỹ thuật bậc trung,4.9,3.7,6.1,5.5,4.6,6.6,4.4,3,5.8
Hà Nội,Nhân viên,2.3,2.1,2.6,3.7,3.1,4.3,1.2,1.3,1.2
Hà Nội,Dịch vụ cá nhân. bảo vệ và bán hàng,23.4,19.7,27.3,28.3,24.1,32.7,19.6,16.3,23.1
Hà Nội,Nghề trong nông. lâm. ngư nghiệp,0.1,0.1,0.1,0,0.1,0,0.1,0.1,0.1
Hà Nội,Thợ thủ công và các thợ khác có liên quan,16.7,22.9,10.3,8.5,12,5,23.1,31.3,14.5
Hà Nội,Thợ lắp ráp và vận hành máy móc thiết bị,14.3,17.7,10.7,9.4,14.9,3.7,18.1,19.8,16.3
Hà Nội,Nghề giản đơn,17,13.5,20.6,9.6,6.9,12.3,22.7,18.6,27.2
Hà Nội,Khác,0.7,1.1,0.3,0.8,1.4,0.2,0.7,0.9,0.4
Bắc Trung Bộ và Duyên hải miền Trung,Tổng,100,100,100,100,100,100,100,100,100
Bắc Trung Bộ và Duyên hải miền Trung,Nhà lãnh đạo,1,1.5,0.5,1.8,2.5,1,0.7,1.1,0.4
Bắc Trung Bộ và Duyên hải miền Trung,Chuyên môn kỹ thuật bậc cao,6.3,5.5,7.1,14.6,13.2,16,3.3,2.8,3.9
Bắc Trung Bộ và Duyên hải miền Trung,Chuyên môn kỹ thuật bậc trung,3.2,2.6,3.7,5.5,4.6,6.4,2.3,1.9,2.8
Bắc Trung Bộ và Duyên hải miền Trung,Nhân viên,1.4,1.4,1.3,2.7,2.4,3,0.9,1,0.8
Bắc Trung Bộ và Duyên hải miền Trung,Dịch vụ cá nhân. bảo vệ và bán hàng,17.8,11.2,25.1,30.1,20.1,41,13.4,8.1,19.3
Bắc Trung Bộ và Duyên hải miền Trung,Nghề trong nông. lâm. ngư nghiệp,11.3,12,10.5,4.1,4.9,3.2,13.9,14.5,13.1
Bắc Trung Bộ và Duyên hải miền Trung,Thợ thủ công và các thợ khác có liên quan,16.4,23.8,8.3,15.2,22.2,7.6,16.8,24.4,8.5
Bắc Trung Bộ và Duyên hải miền Trung,Thợ lắp ráp và vận hành máy móc thiết bị,8.2,9.7,6.6,10.2,14,6,7.5,8.1,6.8
Bắc Trung Bộ và Duyên hải miền Trung,Nghề giản đơn,34.3,31.9,36.8,15.4,15.3,15.5,41,37.8,44.4
Bắc Trung Bộ và Duyên hải miền Trung,Khác,0.2,0.3,0,0.5,0.9,0.1,0.1,0.1,0
Tây Nguyên,Tổng,100,100,100,100,100,100,100,100,100
Tây Nguyên,Nhà lãnh đạo,0.8,1.1,0.5,2.1,3,1,0.3,0.4,0.3
Tây Nguyên,Chuyên môn kỹ thuật bậc cao,4.9,4.1,5.7,13.5,11.4,15.8,1.7,1.5,2
Tây Nguyên,Chuyên môn kỹ thuật bậc trung,2.1,1.5,2.8,4.4,3.2,5.8,1.3,0.9,1.7
Tây Nguyên,Nhân viên,0.8,0.8,0.8,1.6,1.5,1.6,0.5,0.6,0.4
Tây Nguyên,Dịch vụ cá nhân. bảo vệ và bán hàng,12.6,7.6,18.1,23,15.7,31.1,8.8,4.7,13.4
Tây Nguyên,Nghề trong nông. lâm. ngư nghiệp,24.8,30.9,18,15.6,19.9,10.9,28.1,35,20.6
Tây Nguyên,Thợ thủ công và các thợ khác có liên quan,5.8,8.6,2.7,10.4,15.2,4.9,4.2,6.2,2
Tây Nguyên,Thợ lắp ráp và vận hành máy móc thiết bị,2.5,4.4,0.4,4.7,8.1,0.9,1.7,3.1,0.2
Tây Nguyên,Nghề giản đơn,45.4,40.4,51,24.2,20.9,27.8,53.2,47.5,59.5
Tây Nguyên,Khác,0.3,0.5,0,0.6,1,0.1,0.1,0.3,0
Đông Nam Bộ,Tổng,100,100,100,100,100,100,100,100,100
Đông Nam Bộ,Nhà lãnh đạo,1.3,1.7,0.8,1.6,2.2,1,0.7,0.8,0.6
Đông Nam Bộ,Chuyên môn kỹ thuật bậc cao,13.6,12.2,15.3,17.8,16.1,19.6,6.1,5.3,7.1
Đông Nam Bộ,Chuyên môn kỹ thuật bậc trung,4.5,4,5.2,5.5,5,6,2.8,2.2,3.6
Đông Nam Bộ,Nhân viên,3.5,3.5,3.5,4,4.1,3.9,2.5,2.4,2.7
Đông Nam Bộ,Dịch vụ cá nhân. bảo vệ và bán hàng,22,17.5,27.3,25,20.3,30.3,16.7,12.6,21.8
Đông Nam Bộ,Nghề trong nông. lâm. ngư nghiệp,2.9,3.9,1.7,0.8,1.1,0.4,6.8,8.8,4.3
Đông Nam Bộ,Thợ thủ công và các thợ khác có liên quan,14.4,20,7.9,13.6,19.3,7.1,15.8,21.2,9.3
Đông Nam Bộ,Thợ lắp ráp và vận hành máy móc thiết bị,23.3,22.4,24.4,22.7,22.7,22.7,24.5,21.9,27.7
Đông Nam Bộ,Nghề giản đơn,14.2,14.5,13.9,8.8,8.8,8.9,24,24.7,23.1
Đông Nam Bộ,Khác,0.2,0.3,0,0.2,0.4,0.1,0.1,0.2,0
TP.HCM,Tổng,100,100,100,100,100,100,100,100,100
TP.HCM,Nhà lãnh đạo,1.9,2.4,1.3,2.2,2.8,1.5,0.9,1.2,0.6
TP.HCM,Chuyên môn kỹ thuật bậc cao,20.8,19.1,22.8,23.4,21.8,25.4,11.2,10,12.7
TP.HCM,Chuyên môn kỹ thuật bậc trung,6.3,5.6,7.2,6.7,6,7.4,4.9,4,6.1
TP.HCM,Nhân viên,3.4,3.2,3.7,3.5,3.3,3.7,3.2,2.8,3.6
TP.HCM,Dịch vụ cá nhân. bảo vệ và bán hàng,27.2,22.3,33,28.7,23.6,34.6,21.7,17.9,26.7
TP.HCM,Nghề trong nông. lâm. ngư nghiệp,1,1.4,0.5,0.3,0.4,0.2,3.6,5,1.7
TP.HCM,Thợ thủ công và các thợ khác có liên quan,11.5,17.8,4.1,10.2,15.9,3.8,16.2,24.5,5.3
TP.HCM,Thợ lắp ráp và vận hành máy móc thiết bị,19.9,19.9,20,17.9,19.1,16.5,27.3,22.5,33.5
TP.HCM,Nghề giản đơn,7.7,7.9,7.5,6.8,6.8,6.9,10.8,11.5,9.8
TP.HCM,Khác,0.2,0.3,0,0.2,0.3,0,0.3,0.5,0
Đồng bằng sông Cửu Long,Tổng,100,100,100,100,100,100,100,100,100
Đồng bằng sông Cửu Long,Nhà lãnh đạo,0.5,0.7,0.2,1,1.4,0.5,0.3,0.5,0.2
Đồng bằng sông Cửu Long,Chuyên môn kỹ thuật bậc cao,4.3,3.6,5.2,7.8,6.8,9.1,3.2,2.6,4
Đồng bằng sông Cửu Long,Chuyên môn kỹ thuật bậc trung,2.2,2,2.6,3.9,3.5,4.4,1.7,1.5,2
Đồng bằng sông Cửu Long,Nhân viên,1.5,1.6,1.4,2.6,2.4,2.7,1.2,1.3,1
Đồng bằng sông Cửu Long,Dịch vụ cá nhân. bảo vệ và bán hàng,19.7,13.1,28.7,33.7,23.8,46.5,15.4,9.8,22.9
Đồng bằng sông Cửu Long,Nghề trong nông. lâm. ngư nghiệp,12.9,16.9,7.5,6.7,9.4,3.2,14.9,19.2,8.9
Đồng bằng sông Cửu Long,Thợ thủ công và các thợ khác có liên quan,11.6,13.7,8.9,14.2,17.6,9.9,10.8,12.5,8.5
Đồng bằng sông Cửu Long,Thợ lắp ráp và vận hành máy móc thiết bị,8.9,9.5,8.2,8.1,11.3,4,9.2,8.9,9.5
Đồng bằng sông Cửu Long,Nghề giản đơn,38.2,38.9,37.2,21.8,23.5,19.7,43.3,43.6,42.9
Đồng bằng sông Cửu Long,Khác,0.1,0.2,0,0.2,0.4,0.1,0.1,0.1,0
