Khu vực,Loại,Quý,Chung,Nam,Nữ
TỔNG SỐ,TỔNG SỐ,quý 1,7 072,7 396,6 648
TỔNG SỐ,Ngoài nhà nước,quý 1,7 714,8 228,7 243
TỔNG SỐ,Nhà nước,quý 1,6 733,7 102,6 110
TỔNG SỐ,Vốn đầu tư nước ngoài,quý 1,7 984,8 584,7 625
THÀNH THỊ,TỔNG SỐ,quý 1,8 038,8 490,7 504
THÀNH THỊ,Ngoài nhà nước,quý 1,8 410,8 985,7 858
THÀNH THỊ,Nhà nước,quý 1,7 792,8 257,7 138
THÀNH THỊ,Vốn đầu tư nước ngoài,quý 1,8 684,9 213,8 309
NÔNG THÔN,TỔNG SỐ,quý 1,6 373,6 662,5 963
NÔNG THÔN,Ngoài nhà nước,quý 1,6 901,7 296,6 557
NÔNG THÔN,Nhà nước,quý 1,6 027,6 418,5 278
NÔNG THÔN,Vốn đầu tư nước ngoài,quý 1,7 540,8 110,7 233
V1 Trung du và miền núi phía Bắc,TỔNG SỐ,quý 1,6 321,6 361,6 268
V1 Trung du và miền núi phía Bắc,Ngoài nhà nước,quý 1,7 272,7 484,7 097
V1 Trung du và miền núi phía Bắc,Nhà nước,quý 1,5 774,5 953,5 397
V1 Trung du và miền núi phía Bắc,Vốn đầu tư nước ngoài,quý 1,7 157,7 595,6 963
V2 Đồng bằng sông Hồng,TỔNG SỐ,quý 1,7 348,7 731,6 904
V2 Đồng bằng sông Hồng,Ngoài nhà nước,quý 1,7 933,8 701,7 326
V2 Đồng bằng sông Hồng,Nhà nước,quý 1,7 130,7 475,6 610
V2 Đồng bằng sông Hồng,Vốn đầu tư nước ngoài,quý 1,7 709,8 406,7 329
Hà Nội,TỔNG SỐ,quý 1,8 242,8 635,7 799
Hà Nội,Ngoài nhà nước,quý 1,8 825,9 576,8 197
Hà Nội,Nhà nước,quý 1,7 965,8 339,7 476
Hà Nội,Vốn đầu tư nước ngoài,quý 1,9 201,9 595,8 934
V3 Bắc Trung Bộ và Duyên hải miền Trung,TỔNG SỐ,quý 1,6 199,6 562,5 632
V3 Bắc Trung Bộ và Duyên hải miền Trung,Ngoài nhà nước,quý 1,7 223,7 665,6 826
V3 Bắc Trung Bộ và Duyên hải miền Trung,Nhà nước,quý 1,5 932,6 344,5 123
V3 Bắc Trung Bộ và Duyên hải miền Trung,Vốn đầu tư nước ngoài,quý 1,6 607,7 561,6 150
V4 Tây Nguyên,TỔNG SỐ,quý 1,5 623,6 060,5 052
V4 Tây Nguyên,Ngoài nhà nước,quý 1,7 505,8 103,6 890
V4 Tây Nguyên,Nhà nước,quý 1,4 940,5 428,4 237
V4 Tây Nguyên,Vốn đầu tư nước ngoài,quý 1,7 521,9 674,6 918
V5 Đông Nam Bộ,TỔNG SỐ,quý 1,8 526,8 959,8 017
V5 Đông Nam Bộ,Ngoài nhà nước,quý 1,8 809,9 267,8 381
V5 Đông Nam Bộ,Nhà nước,quý 1,8 423,8 881,7 734
V5 Đông Nam Bộ,Vốn đầu tư nước ngoài,quý 1,8 654,9 077,8 341
Thành phố Hồ Chí Minh,TỔNG SỐ,quý 1, 9 046,9 528,8 484
Thành phố Hồ Chí Minh,Ngoài nhà nước,quý 1,9 321,9 728,8 905
Thành phố Hồ Chí Minh,Nhà nước,quý 1,8 968,9 458,8 333
Thành phố Hồ Chí Minh,Vốn đầu tư nước ngoài,quý 1,9 278,9 936,8 853
V6 Đồng bằng sông Cửu Long,TỔNG SỐ,quý 1,6 022,6 460,5 348
V6 Đồng bằng sông Cửu Long,Ngoài nhà nước,quý 1,7 223,7 786,6 493
V6 Đồng bằng sông Cửu Long,Nhà nước,quý 1,5 699,6 222,4 737
V6 Đồng bằng sông Cửu Long,Vốn đầu tư nước ngoài,quý 1,7 050,7 130,7 019
TỔNG SỐ,TỔNG SỐ,quý 2,6 340,6 682,5 880
TỔNG SỐ,Ngoài nhà nước,quý 2,7 475,8 093,6 892
TỔNG SỐ,Nhà nước,quý 2,5 953,6 304,5 339
TỔNG SỐ,Vốn đầu tư nước ngoài,quý 2,6 858,7 583,6 411
THÀNH THỊ,TỔNG SỐ,quý 2,7 184,7 637,6 629
THÀNH THỊ,Ngoài nhà nước,quý 2,8 186,8 924,7 458
THÀNH THỊ,Nhà nước,quý 2,6 808,7 221,6 202
THÀNH THỊ,Vốn đầu tư nước ngoài,quý 2,7 453,8 122,6 956
NÔNG THÔN,TỔNG SỐ,quý 2,5 712,6 020,5 267
NÔNG THÔN,Ngoài nhà nước,quý 2,6 694,7 135,6 298
NÔNG THÔN,Nhà nước,quý 2,5 373,5 748,4 630
NÔNG THÔN,Vốn đầu tư nước ngoài,quý 2,6 424,7 101,6 062
V1 Trung du và miền núi phía Bắc,TỔNG SỐ,quý 2,5 830,5 853,5 799
V1 Trung du và miền núi phía Bắc,Ngoài nhà nước,quý 2,7 333,7 703,7 024
V1 Trung du và miền núi phía Bắc,Nhà nước,quý 2,5 079,5 224,4 744
V1 Trung du và miền núi phía Bắc,Vốn đầu tư nước ngoài,quý 2,6 464,7 091,6 132
V2 Đồng bằng sông Hồng,TỔNG SỐ,quý 2,6 540,6 921,6 096
V2 Đồng bằng sông Hồng,Ngoài nhà nước,quý 2,7 714,8 510,7 063
V2 Đồng bằng sông Hồng,Nhà nước,quý 2,6 216,6 539,5 723
V2 Đồng bằng sông Hồng,Vốn đầu tư nước ngoài,quý 2,6 572,7 356,6 123
Hà Nội,TỔNG SỐ,quý 2,7 452,7 889,6 961
Hà Nội,Ngoài nhà nước,quý 2,8 422,9 394,7 564
Hà Nội,Nhà nước,quý 2,7 092,7 434,6 652
Hà Nội,Vốn đầu tư nước ngoài,quý 2,7 802,8 371,7 388
V3 Bắc Trung Bộ và Duyên hải miền Trung,TỔNG SỐ,quý 2,5 551,5 913,4 978
V3 Bắc Trung Bộ và Duyên hải miền Trung,Ngoài nhà nước,quý 2,7 012,7 529,6 534
V3 Bắc Trung Bộ và Duyên hải miền Trung,Nhà nước,quý 2,5 197,5 606,4 385
V3 Bắc Trung Bộ và Duyên hải miền Trung,Vốn đầu tư nước ngoài,quý 2,5 510,6 621,5 008
V4 Tây Nguyên,TỔNG SỐ,quý 2,5 381,5 786,4 792
V4 Tây Nguyên,Ngoài nhà nước,quý 2,7 218,7 734,6 680
V4 Tây Nguyên,Nhà nước,quý 2,4 672,5 164,3 850
V4 Tây Nguyên,Vốn đầu tư nước ngoài,quý 2,5 283,6 449,4 285
V5 Đông Nam Bộ,TỔNG SỐ,quý 2,7 505,8 001,6 907
V5 Đông Nam Bộ,Ngoài nhà nước,quý 2,8 207,9 052,7 367
V5 Đông Nam Bộ,Nhà nước,quý 2,7 396,7 849,6 705
V5 Đông Nam Bộ,Vốn đầu tư nước ngoài,quý 2,7 479,8 018,7 078
Thành phố Hồ Chí Minh,TỔNG SỐ,quý 2,8 224,8 821,7 510
Thành phố Hồ Chí Minh,Ngoài nhà nước,quý 2,8 711,9 706,7 733
Thành phố Hồ Chí Minh,Nhà nước,quý 2,8 051,8 573,7 368
Thành phố Hồ Chí Minh,Vốn đầu tư nước ngoài,quý 2,8 931,10 043,8 080
V6 Đồng bằng sông Cửu Long,TỔNG SỐ,quý 2,5 523,5 960,4 819
V6 Đồng bằng sông Cửu Long,Ngoài nhà nước,quý 2,7 068,7 592,6 391
V6 Đồng bằng sông Cửu Long,Nhà nước,quý 2,5 172,5 659,4 211
V6 Đồng bằng sông Cửu Long,Vốn đầu tư nước ngoài,quý 2,5 920,6 470,5 705
TỔNG SỐ,TỔNG SỐ,quý 3,6 524,6 850,6 097
TỔNG SỐ,Ngoài nhà nước,quý 3,7 331,7 833,6 866
TỔNG SỐ,Nhà nước,quý 3,6 273,6 612,5 692
TỔNG SỐ,Vốn đầu tư nước ngoài,quý 3,6 776,7 298,6 479
THÀNH THỊ,TỔNG SỐ,quý 3,7 314,7 728,6 814
THÀNH THỊ,Ngoài nhà nước,quý 3,7 943,8 500,7 391
THÀNH THỊ,Nhà nước,quý 3,7 129,7 509,6 579
THÀNH THỊ,Vốn đầu tư nước ngoài,quý 3,7 229,7 802,6 842
NÔNG THÔN,TỔNG SỐ,quý 3,5 971,6 272,5 552
