Vị trí,Khu vực kinh tế,Thời gian,Chung,Nam,Nữ
Trung du và miền núi phía Bắc,Trung bình,Quý 1,38.9,39.9,37.8
Trung du và miền núi phía Bắc,"Nông, lâm nghiệp và thủy sản",Quý 1,34.7,35.6,34
Trung du và miền núi phía Bắc,Công nghiệp và xây dựng,Quý 1,46.1,45.7,46.9
Trung du và miền núi phía Bắc,Dịch vụ,Quý 1,42.3,43.1,41.4
Đồng bằng sông Hồng,Trung bình,Quý 1,40.9,42.1,39.5
Đồng bằng sông Hồng,"Nông, lâm nghiệp và thủy sản",Quý 1,29.5,31.4,28
Đồng bằng sông Hồng,Công nghiệp và xây dựng,Quý 1,44.7,44.5,45
Đồng bằng sông Hồng,Dịch vụ,Quý 1,42.5,43.8,41.3
Hà Nội,Trung bình,Quý 1,40.5,41.5,39.5
Hà Nội,"Nông, lâm nghiệp và thủy sản",Quý 1,32,33.2,31.3
Hà Nội,Công nghiệp và xây dựng,Quý 1,42.8,42.8,42.7
Hà Nội,Dịch vụ,Quý 1,41,42.1,39.9
Bắc Trung Bộ và Duyên hải miền Trung,Trung bình,Quý 1,38.8,40.4,37.1
Bắc Trung Bộ và Duyên hải miền Trung,"Nông, lâm nghiệp và thủy sản",Quý 1,33.5,36.2,31
Bắc Trung Bộ và Duyên hải miền Trung,Công nghiệp và xây dựng,Quý 1,43.2,43.3,43
Bắc Trung Bộ và Duyên hải miền Trung,Dịch vụ,Quý 1,41.4,42.4,40.6
Tây Nguyên,Trung bình,Quý 1,40.5,42,39
Tây Nguyên,"Nông, lâm nghiệp và thủy sản",Quý 1,39.5,41.3,37.6
Tây Nguyên,Công nghiệp và xây dựng,Quý 1,41.3,42.1,39.2
Tây Nguyên,Dịch vụ,Quý 1,43.4,44.6,42.5
Đông Nam Bộ,Trung bình,Quý 1,42,42.5,41.3
Đông Nam Bộ,"Nông, lâm nghiệp và thủy sản",Quý 1,34.7,36.9,31.3
Đông Nam Bộ,Công nghiệp và xây dựng,Quý 1,43.7,43.5,43.8
Đông Nam Bộ,Dịch vụ,Quý 1,42.1,43.1,41
Thành phố Hồ Chí Minh,Trung bình,Quý 1,42.8,43.4,42.1
Thành phố Hồ Chí Minh,"Nông, lâm nghiệp và thủy sản",Quý 1,38.8,38.9,38.5
Thành phố Hồ Chí Minh,Công nghiệp và xây dựng,Quý 1,43.2,43.1,43.2
Thành phố Hồ Chí Minh,Dịch vụ,Quý 1,42.7,43.6,41.5
Đồng bằng sông Cửu Long,Trung bình,Quý 1,38,39.8,35.8
Đồng bằng sông Cửu Long,"Nông, lâm nghiệp và thủy sản",Quý 1,31,34.8,24.9
Đồng bằng sông Cửu Long,Công nghiệp và xây dựng,Quý 1,43,43.8,41.7
Đồng bằng sông Cửu Long,Dịch vụ,Quý 1,41.8,42.7,40.9
Trung du và miền núi phía Bắc,Trung bình,Quý 2,42.1,43.5,40.7
Trung du và miền núi phía Bắc,"Nông, lâm nghiệp và thủy sản",Quý 2,39.2,40.3,38.1
Trung du và miền núi phía Bắc,Công nghiệp và xây dựng,Quý 2,48.4,48.8,47.5
Trung du và miền núi phía Bắc,Dịch vụ,Quý 2,43.6,44.3,42.8
Đồng bằng sông Hồng,Trung bình,Quý 2,42,43.3,40.7
Đồng bằng sông Hồng,"Nông, lâm nghiệp và thủy sản",Quý 2,31.2,33,29.8
Đồng bằng sông Hồng,Công nghiệp và xây dựng,Quý 2,46.2,46.6,45.8
Đồng bằng sông Hồng,Dịch vụ,Quý 2,43.2,43.9,42.5
Hà Nội,Trung bình,Quý 2,42.4,43.6,41.2
Hà Nội,"Nông, lâm nghiệp và thủy sản",Quý 2,33.1,33.8,32.6
Hà Nội,Công nghiệp và xây dựng,Quý 2,45.4,45.9,44.7
Hà Nội,Dịch vụ,Quý 2,42.5,43.6,41.4
Bắc Trung Bộ và Duyên hải miền Trung,Trung bình,Quý 2,41.1,43,39
Bắc Trung Bộ và Duyên hải miền Trung,"Nông, lâm nghiệp và thủy sản",Quý 2,36.2,39.3,33.3
Bắc Trung Bộ và Duyên hải miền Trung,Công nghiệp và xây dựng,Quý 2,46.2,46.7,5
Bắc Trung Bộ và Duyên hải miền Trung,Dịch vụ,Quý 2,42.5,43.1,42
Tây Nguyên,Trung bình,Quý 2,41.5,42.8,39.9
Tây Nguyên,"Nông, lâm nghiệp và thủy sản",Quý 2,40,41.6,38.1
Tây Nguyên,Công nghiệp và xây dựng,Quý 2,45,45.7,42.7
Tây Nguyên,Dịch vụ,Quý 2,44.4,45.2,43.8
Đông Nam Bộ,Trung bình,Quý 2,42.8,43.4,42.1
Đông Nam Bộ,"Nông, lâm nghiệp và thủy sản",Quý 2,37,38.8,33.8
Đông Nam Bộ,Công nghiệp và xây dựng,Quý 2,44.1,44.5,43.7
Đông Nam Bộ,Dịch vụ,Quý 2,42.7,43.5,42
Thành phố Hồ Chí Minh,Trung bình,Quý 2,43.4,44.1,42.4
Thành phố Hồ Chí Minh,"Nông, lâm nghiệp và thủy sản",Quý 2,38,38.6,35.5
Thành phố Hồ Chí Minh,Công nghiệp và xây dựng,Quý 2,44.3,44.6,43.8
Thành phố Hồ Chí Minh,Dịch vụ,Quý 2,42.9,44,41.8
Đồng bằng sông Cửu Long,Trung bình,Quý 2,38.6,40.2,36.4
Đồng bằng sông Cửu Long,"Nông, lâm nghiệp và thủy sản",Quý 2,31.4,34.8,25.8
Đồng bằng sông Cửu Long,Công nghiệp và xây dựng,Quý 2,43.9,44.8,42.4
Đồng bằng sông Cửu Long,Dịch vụ,Quý 2,42.1,43.1,44.2
Trung du và miền núi phía Bắc,Trung bình,Quý 3,43.6,44.9,42.2
Trung du và miền núi phía Bắc,"Nông, lâm nghiệp và thủy sản",Quý 3,40.3,41.3,39.4
Trung du và miền núi phía Bắc,Công nghiệp và xây dựng,Quý 3,50.2,50.3,50
Trung du và miền núi phía Bắc,Dịch vụ,Quý 3,45.4,46.5,44.3
Đồng bằng sông Hồng,Trung bình,Quý 3,45.3,46.7,43.8
Đồng bằng sông Hồng,"Nông, lâm nghiệp và thủy sản",Quý 3,33.3,35.1,32.2
Đồng bằng sông Hồng,Công nghiệp và xây dựng,Quý 3,50,50.3,49.8
Đồng bằng sông Hồng,Dịch vụ,Quý 3,45.9,47,44.9
Hà Nội,Trung bình,Quý 3,45.7,46.7,44.6
Hà Nội,"Nông, lâm nghiệp và thủy sản",Quý 3,36.3,36.2,36.3
Hà Nội,Công nghiệp và xây dựng,Quý 3,49,49.4,48.5
