Mã số,Vị trí,Thời gian,Chung,Nam,Nữ
Toàn quốc,Trung du và miền núi phía Bắc,Quý 1,68,41.5,26.5
Toàn quốc,Đồng bằng sông Hồng,Quý 1,195.3,103.3,91.9
Toàn quốc,Hà Nội,Quý 1,58.7,23.5,35.2
Toàn quốc,Bắc Trung Bộ và Duyên hải miền Trung,Quý 1,280.5,142.3,138.2
Toàn quốc,Tây Nguyên,Quý 1,61.8,24,37.8
Toàn quốc,Đông Nam Bộ,Quý 1,256,112.4,143.7
Toàn quốc,Thành phố Hồ Chí Minh,Quý 1,126.4,52.9,73.5
Toàn quốc,Đồng bằng sông Cửu Long,Quý 1,224.4,104,120.4
Thành thị,Trung du và miền núi phía Bắc,Quý 1,25.3,13.7,11.7
Thành thị,Đồng bằng sông Hồng,Quý 1,99.3,44.8,54.5
Thành thị,Hà Nội,Quý 1,44.6,17.3,27.3
Thành thị,Bắc Trung Bộ và Duyên hải miền Trung,Quý 1,119.5,59,60.5
Thành thị,Tây Nguyên,Quý 1,25,9,16
Thành thị,Đông Nam Bộ,Quý 1,182.7,78.8,103.9
Thành thị,Thành phố Hồ Chí Minh,Quý 1,106.5,43.4,63.2
Thành thị,Đồng bằng sông Cửu Long,Quý 1,71.8,35.4,3.4
Nông thôn,Trung du và miền núi phía Bắc,Quý 1,42.7,27.8,14.8
Nông thôn,Đồng bằng sông Hồng,Quý 1,96,58.5,37.4
Nông thôn,Hà Nội,Quý 1,14.1,6.2,7.9
Nông thôn,Bắc Trung Bộ và Duyên hải miền Trung,Quý 1,161,83.4,77.7
Nông thôn,Tây Nguyên,Quý 1,36.8,15,21.8
Nông thôn,Đông Nam Bộ,Quý 1,73.3,33.6,39.8
Nông thôn,Thành phố Hồ Chí Minh,Quý 1,19.9,9.5,10.4
Nông thôn,Đồng bằng sông Cửu Long,Quý 1,152.7,68.7,84
Toàn quốc,Trung du và miền núi phía Bắc,Quý 2,58.1,31.9,26.3
Toàn quốc,Đồng bằng sông Hồng,Quý 2,233.6,126.7,106.9
Toàn quốc,Hà Nội,Quý 2,104.1,50.8,53.2
Toàn quốc,Bắc Trung Bộ và Duyên hải miền Trung,Quý 2,312.2,165.8,146.5
Toàn quốc,Tây Nguyên,Quý 2,52.1,27.5,24.6
Toàn quốc,Đông Nam Bộ,Quý 2,360.1,191.4,168.6
Toàn quốc,Thành phố Hồ Chí Minh,Quý 2,205.2,106.3,98.9
Toàn quốc,Đồng bằng sông Cửu Long,Quý 2,262.8,125.8,136.9
Thành thị,Trung du và miền núi phía Bắc,Quý 2,27.2,15.2,12.1
Thành thị,Đồng bằng sông Hồng,Quý 2,142.6,70.1,72.5
Thành thị,Hà Nội,Quý 2,86.4,42.3,44.1
Thành thị,Bắc Trung Bộ và Duyên hải miền Trung,Quý 2,173.5,94,79.5
Thành thị,Tây Nguyên,Quý 2,19.1,8.4,10.8
Thành thị,Đông Nam Bộ,Quý 2,280.8,141.5,139.2
Thành thị,Thành phố Hồ Chí Minh,Quý 2,179.7,88.6,91.2
Thành thị,Đồng bằng sông Cửu Long,Quý 2,88.5,44.4,44.1
Nông thôn,Trung du và miền núi phía Bắc,Quý 2,30.9,16.7,14.2
Nông thôn,Đồng bằng sông Hồng,Quý 2,91,56.6,34.4
Nông thôn,Hà Nội,Quý 2,17.7,8.5,9.2
Nông thôn,Bắc Trung Bộ và Duyên hải miền Trung,Quý 2,138.7,71.8,67
Nông thôn,Tây Nguyên,Quý 2,33,191.1,13.9
Nông thôn,Đông Nam Bộ,Quý 2,79.3,49.9,29.4
Nông thôn,Thành phố Hồ Chí Minh,Quý 2,25.5,17.8,7.7
Nông thôn,Đồng bằng sông Cửu Long,Quý 2,174.3,81.4,92.9
Toàn quốc,Trung du và miền núi phía Bắc,Quý 3,61.7,23.5,38.2
Toàn quốc,Đồng bằng sông Hồng,Quý 3,212.3,90,122.3
Toàn quốc,Hà Nội,Quý 3,89.4,33.3,56
Toàn quốc,Bắc Trung Bộ và Duyên hải miền Trung,Quý 3,346.1,146.8,199.4
Toàn quốc,Tây Nguyên,Quý 3,44.5,11.3,33.2
Toàn quốc,Đông Nam Bộ,Quý 3,328.4,136.4,191.9
Toàn quốc,Thành phố Hồ Chí Minh,Quý 3,200.1,78.1,122
Toàn quốc,Đồng bằng sông Cửu Long,Quý 3,222.9,85.8,137.1
Thành thị,Trung du và miền núi phía Bắc,Quý 3,25.9,9.9,16
Thành thị,Đồng bằng sông Hồng,Quý 3,121.2,46.9,74.3
Thành thị,Hà Nội,Quý 3,68,25.4,42.7
Thành thị,Bắc Trung Bộ và Duyên hải miền Trung,Quý 3,167,74.1,93
Thành thị,Tây Nguyên,Quý 3,24.9,6.5,18.4
Thành thị,Đông Nam Bộ,Quý 3,150.7,103.7,147
Thành thị,Thành phố Hồ Chí Minh,Quý 3,170.6,65.2,105.4
Thành thị,Đồng bằng sông Cửu Long,Quý 3,71.6,29.3,42.3
Nông thôn,Trung du và miền núi phía Bắc,Quý 3,35.8,13.6,22.1
Nông thôn,Đồng bằng sông Hồng,Quý 3,91.1,43.1,48
Nông thôn,Hà Nội,Quý 3,21.3,8,13.4
Nông thôn,Bắc Trung Bộ và Duyên hải miền Trung,Quý 3,179.1,72.7,106.4
Nông thôn,Tây Nguyên,Quý 3,19.6,4.8,14.8
Nông thôn,Đông Nam Bộ,Quý 3,77.7,32.8,44.9
Nông thôn,Thành phố Hồ Chí Minh,Quý 3,13.7,4.8,8.9
Nông thôn,Đồng bằng sông Cửu Long,Quý 3,151.4,56.5,94.8
Toàn quốc,Trung du và miền núi phía Bắc,Quý 4,64,29.6,34.4
Toàn quốc,Đồng bằng sông Hồng,Quý 4,215.9,85.4,130.5
Toàn quốc,Hà Nội,Quý 4,104.1,38.6,65.5
Toàn quốc,Bắc Trung Bộ và Duyên hải miền Trung,Quý 4,305.7,125.5,180.1
Toàn quốc,Tây Nguyên,Quý 4,47.8,15,32.8
Toàn quốc,Đông Nam Bộ,Quý 4,285.6,97,188.6
Toàn quốc,Thành phố Hồ Chí Minh,Quý 4,186.4,64.6,121.7
Toàn quốc,Đồng bằng sông Cửu Long,Quý 4,236.8,86.9,149.9
Thành thị,Trung du và miền núi phía Bắc,Quý 4,24.9,10.3,14.6
Thành thị,Đồng bằng sông Hồng,Quý 4,125.7,45.4,80.3
Thành thị,Hà Nội,Quý 4,71,24,47
Thành thị,Bắc Trung Bộ và Duyên hải miền Trung,Quý 4,139.1,56.9,82.2
Thành thị,Tây Nguyên,Quý 4,22.4,7.8,14.6
Thành thị,Đông Nam Bộ,Quý 4,219.1,68.7,150.4
Thành thị,Thành phố Hồ Chí Minh,Quý 4,165,54,111
Thành thị,Đồng bằng sông Cửu Long,Quý 4,78.5,28.3,50.2
Nông thôn,Trung du và miền núi phía Bắc,Quý 4,39.2,19.3,19.8
Nông thôn,Đồng bằng sông Hồng,Quý 4,90.2,40,50.2
Nông thôn,Hà Nội,Quý 4,33,14.6,18.4
Nông thôn,Bắc Trung Bộ và Duyên hải miền Trung,Quý 4,166.5,68.6,97.9
Nông thôn,Tây Nguyên,Quý 4,25.4,7.2,18.2
Nông thôn,Đông Nam Bộ,Quý 4,66.5,28.3,38.2
Nông thôn,Thành phố Hồ Chí Minh,Quý 4,21.4,10.6,10.8
Nông thôn,Đồng bằng sông Cửu Long,Quý 4,158.2,58.6,99.7
