CƠ CẤU LỰC LƯỢNG LAO ĐỘNG TỪ 15 TUỔI TRỞ LÊN CHIA THEO TRÌNH ĐỘ CHUYÊN MÔN KỸ THUẬT. NĂM 2020,,,,,,,,,,
,,Tổng số,,,Thành thị,,,Nông thôn,,
Vùng,Trình độ,Chung,Nam,Nữ,Chung,Nam,Nữ,Chung,Nam,Nữ
Tổng số,Tổng số,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 
Tổng số,Không có trình độ chuyên môn kỹ thuật,76.4 ,73.3 ,79.9 ,60.7 ,57.3 ,64.5 ,84.0 ,81.0 ,87.4 
Tổng số,Dạy nghề,4.7 ,8.3 ,0.7 ,6.1 ,10.7 ,1.1 ,4.0 ,7.1 ,0.6 
Tổng số,Trung cấp,4.3 ,4.8 ,3.8 ,5.8 ,6.0 ,5.6 ,3.6 ,4.3 ,2.9 
Tổng số,Cao đẳng,3.7 ,3.2 ,4.2 ,5.4 ,4.8 ,6.1 ,2.8 ,2.4 ,3.3 
Tổng số,Đại học trở lên,10.9 ,10.4 ,11.4 ,21.9 ,21.2 ,22.8 ,5.5 ,5.2 ,5.9 
Trung du và miền núi phía Bắc,Tổng số,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 
Trung du và miền núi phía Bắc,Không có trình độ chuyên môn kỹ thuật,79.8 ,76.8 ,83.0 ,49.2 ,44.2 ,53.9 ,85.8 ,82.9 ,88.8 
Trung du và miền núi phía Bắc,Dạy nghề,4.3 ,7.5 ,0.9 ,7.7 ,13.6 ,2.0 ,3.6 ,6.4 ,0.7 
Trung du và miền núi phía Bắc,Trung cấp,5.1 ,5.8 ,4.3 ,10.9 ,11.7 ,10.2 ,3.9 ,4.7 ,3.1 
Trung du và miền núi phía Bắc,Cao đẳng,3.4 ,2.9 ,4.0 ,7.1 ,5.7 ,8.5 ,2.7 ,2.3 ,3.1 
Trung du và miền núi phía Bắc,Đại học trở lên,7.4 ,7.0 ,7.8 ,25.1 ,24.8 ,25.4 ,4.0 ,3.7 ,4.3 
Đồng bằng sông Hồng,Tổng số,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 
Đồng bằng sông Hồng,Không có trình độ chuyên môn kỹ thuật,67.8 ,62.2 ,73.4 ,48.1 ,42.6 ,53.7 ,77.1 ,71.6 ,82.6 
